time,speed,prediction,confidence,action,price
2025-11-03 20:15:38.546053,0.0014615252237803803,0,0.9999781607126422,SELL,4015.37
2025-11-03 20:15:43.601044,0.001561288037690332,0,0.9999781607126422,SELL,4015.77
2025-11-03 20:15:48.640963,0.0015687702487336267,0,0.9999781607126422,SELL,4015.8
2025-11-03 20:15:53.679052,0.0016735212033389569,0,0.9999781607126422,SELL,4016.22
2025-11-03 20:15:58.713857,0.0017308848213371708,0,0.9999781607126422,SELL,4016.45
2025-11-03 20:16:03.753170,0.0013639333143828389,0,0.9999781607126422,SELL,4015.93
2025-11-03 20:16:08.783049,0.0014038289871985033,0,0.9999781607126422,SELL,4016.09
2025-11-03 20:16:13.810311,0.0016107877899293438,0,0.9999781607126422,SELL,4017.14
2025-11-03 20:16:18.840948,0.0016631508604998111,0,0.9999781607126422,SELL,4017.13
2025-11-03 20:16:23.868243,0.0015459573216039602,0,0.9999781607126422,SELL,4016.66
2025-11-03 20:16:28.895706,0.0016581639013978672,0,0.9999781607126422,SELL,4017.11
2025-11-03 20:16:33.917451,0.0015758790762157367,0,0.9999781607126422,SELL,4016.78
2025-11-03 20:16:38.946911,0.0016631508604998111,0,0.9999781607126422,SELL,4017.13
2025-11-03 20:16:43.973973,0.0016581639013978672,0,0.9999781607126422,SELL,4017.11
2025-11-03 20:16:49.010942,0.0016058008308274,0,0.9999781607126422,SELL,4016.99
2025-11-03 20:16:54.043932,0.001775357440293605,0,0.9999781607126422,SELL,4017.58
2025-11-03 20:16:59.067973,0.0018352009495170448,0,0.9999781607126422,SELL,4017.82
2025-11-03 20:17:04.097566,0.0017305913186158397,0,0.9999781607126422,SELL,4017.13
2025-11-03 20:17:09.125124,0.0019051466389372754,0,0.9999781607126422,SELL,4017.83
2025-11-03 20:17:14.157255,0.0017929325044449401,0,0.9999781607126422,SELL,4017.38
2025-11-03 20:17:19.179875,0.0019275894658357879,0,0.9999781607126422,SELL,4017.92
2025-11-03 20:17:24.209158,0.0020073861836969638,0,0.9999781607126422,SELL,4018.24
2025-11-03 20:17:29.233668,0.0020248417157291525,0,0.9999781607126422,SELL,4018.31
2025-11-03 20:17:34.262935,0.0021669796194195424,0,0.9999781607126422,SELL,4018.88
2025-11-03 20:17:39.291079,0.0024188380101690487,0,0.9999781607126422,SELL,4019.89
2025-11-03 20:17:44.315543,0.002483672843431368,0,0.9999781607126422,SELL,4020.15
2025-11-03 20:17:49.341930,0.002428812599901696,0,0.9999781607126422,SELL,4019.93
2025-11-03 20:17:54.373109,0.0024512554268002083,0,0.9999781607126422,SELL,4020.02
2025-11-03 20:17:59.400245,0.0023789396512384608,0,0.9999781607126422,SELL,4019.9
2025-11-03 20:18:04.423484,0.0021831993340742993,0,0.9999781607126422,SELL,4021.22
2025-11-03 20:18:09.504578,0.0022729198546527296,0,0.9999781607126422,SELL,4021.58
2025-11-03 20:18:14.540148,0.002292857748114578,0,0.9999781607126422,SELL,4021.66
2025-11-03 20:18:22.873799,0.002203137227536261,0,0.9999781607126422,SELL,4021.43
2025-11-03 20:18:27.903978,0.0022205828843153215,0,0.9999781607126422,SELL,4021.37
2025-11-03 20:18:32.945363,0.002008742766283015,0,0.9999781607126422,SELL,4020.52
2025-11-03 20:18:37.973418,0.0022255673576807833,0,0.9999781607126422,SELL,4021.39
2025-11-03 20:18:43.000161,0.002370117085279296,0,0.9999781607126422,SELL,4021.96
2025-11-03 20:18:48.028209,0.0023875627420584696,0,0.9999781607126422,SELL,4022.04
2025-11-03 20:18:53.069190,0.0024573453691750513,0,0.9999781607126422,SELL,4022.32
2025-11-03 20:18:58.100993,0.0024249462922994918,0,0.9999781607126422,SELL,4022.19
2025-11-03 20:19:03.127520,0.0015535411526577706,0,0.9999781607126422,SELL,4022.99
2025-11-03 20:19:08.157489,0.0018622576637629103,0,0.9999781607126422,SELL,4024.11
2025-11-03 20:19:13.187652,0.0019120506494249747,0,0.9999781607126422,SELL,4024.31
2025-11-03 20:19:18.219456,0.001725326953192063,0,0.9999781607126422,SELL,4023.56
2025-11-03 20:19:23.250146,0.0016481478254158064,0,0.9999781607126422,SELL,4023.31
2025-11-03 20:19:28.280263,0.0016257409818678209,0,0.9999781607126422,SELL,4023.16
2025-11-03 20:19:33.305861,0.0017029201096440774,0,0.9999781607126422,SELL,4023.47
2025-11-03 20:19:38.335275,0.0014987688684294997,0,0.9999781607126422,SELL,4022.71
2025-11-03 20:19:43.360786,0.001359348508575606,0,0.9999781607126422,SELL,4022.09
2025-11-03 20:19:48.393336,0.0011303007745298828,0,0.9999781607126422,SELL,4021.17
2025-11-03 20:19:53.435092,0.001018266556790068,0,0.9999781607126422,SELL,4020.72
2025-11-03 20:19:58.464302,0.0009958597132421955,0,0.9999781607126422,SELL,4020.63
2025-11-03 20:20:03.492274,0.0007441568752380522,0,0.9999781607126422,SELL,4020.96
2025-11-03 20:20:08.524708,0.0008362431775250009,0,0.9999781607126422,SELL,4021.33
2025-11-03 20:20:13.551945,0.0011000579894822691,0,0.9999781607126422,SELL,4022.48
2025-11-03 20:20:18.582719,0.00099552759229163,0,0.9999781607126422,SELL,4021.97
2025-11-03 20:20:23.613389,0.0008536649103901451,0,0.9999781607126422,SELL,4021.4
2025-11-03 20:20:28.639457,0.0006371376590667428,0,0.9999781607126422,SELL,4020.53
2025-11-03 20:20:33.667510,0.0006097606502786912,0,0.9999781607126422,SELL,4020.42
2025-11-03 20:20:38.693046,0.000545051356779681,0,0.9999781607126422,SELL,4020.16
